 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: g1-f203.in  
  NUMBER OF POINTS IN SERIES:         3952
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    802.0530      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
     1    0.0094    2.0300     0.0087         -0.0007
     2    0.0025    1.4210     0.0011         -0.0014
     3    0.0092    2.0300     0.0033         -0.0059
     4    0.0061    1.8270     0.0028         -0.0033
     5    0.0015    1.2180     0.0006         -0.0008
     6    0.0085    2.0300     0.0038         -0.0047
     7    0.0045    1.4210     0.0029         -0.0016
     8    0.0068    1.8270     0.0038         -0.0030
     9    0.0147    2.2330     0.0060         -0.0087
    10    0.0218    3.2480     0.0095         -0.0124
    11    0.0129    3.0450     0.0075         -0.0053
    12    0.0145    2.0300     0.0066         -0.0078
    13    0.0201    2.0300     0.0111         -0.0090
    14    0.0082    1.4210     0.0063         -0.0019
    15    0.0107    2.2330     0.0038         -0.0069
    16    0.0046    1.2180     0.0010         -0.0036
    17    0.0090    1.8270     0.0051         -0.0039
    18    0.0129    1.8270     0.0059         -0.0070
    19    0.0097    1.6240     0.0051         -0.0046
    20    0.0100    5.0750     0.0063         -0.0037
    21    0.0081    3.0450     0.0039         -0.0042
    22    0.0087    2.0300     0.0039         -0.0048
    23    0.0047    1.6240     0.0029         -0.0019
    24    0.0044    1.6240     0.0023         -0.0022
    25    0.0100    1.8270     0.0029         -0.0071
    26    0.0137    2.2330     0.0102         -0.0034
    27    0.0078    2.4360     0.0025         -0.0053
    28    0.0116    1.8270     0.0038         -0.0077
    29    0.0111    1.8270     0.0075         -0.0036
    30    0.0097    1.8270     0.0037         -0.0060
    31    0.0088    2.0300     0.0055         -0.0033
    32    0.0067    2.0300     0.0024         -0.0043
    33    0.0043    1.8270     0.0017         -0.0026
