 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: g1-nf203.in 
  NUMBER OF POINTS IN SERIES:         3952
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    802.0530      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
     1    0.0880    1.0150     0.0330         -0.0550
     2    0.0820    1.0150     0.0270         -0.0550
     3    0.0590    1.2180     0.0160         -0.0430
     4    0.1520    0.8120     0.0950         -0.0570
     5    0.0860    1.0150     0.0610         -0.0250
     6    0.0870    0.8120     0.0440         -0.0430
     7    0.0720    1.0150     0.0340         -0.0380
     8    0.0940    1.0150     0.0510         -0.0430
     9    0.0720    1.2180     0.0340         -0.0380
    10    0.1110    1.0150     0.0420         -0.0690
    11    0.1220    0.8120     0.0650         -0.0570
    12    0.1040    1.2180     0.0470         -0.0570
    13    0.0850    0.4060     0.0690         -0.0160
    14    0.0470    0.8120     0.0120         -0.0350
    15    0.0730    1.2180     0.0550         -0.0180
    16    0.0550    0.8120     0.0360         -0.0190
    17    0.0710    1.0150     0.0330         -0.0380
    18    0.0880    0.8120     0.0490         -0.0390
    19    0.0550    1.0150     0.0160         -0.0390
    20    0.0670    0.8120     0.0190         -0.0480
    21    0.0390    1.0150     0.0270         -0.0120
    22    0.0740    1.6240     0.0270         -0.0470
    23    0.0800    1.0150     0.0330         -0.0470
    24    0.1080    1.0150     0.0640         -0.0440
    25    0.1010    1.0150     0.0490         -0.0520
    26    0.1180    0.8120     0.0630         -0.0550
    27    0.0630    0.8120     0.0380         -0.0250
    28    0.0970    1.0150     0.0430         -0.0540
    29    0.1080    1.2180     0.0610         -0.0470
    30    0.0930    0.8120     0.0460         -0.0470
    31    0.0350    0.4060     0.0140         -0.0210
    32    0.0610    1.2180     0.0270         -0.0340
    33    0.1000    1.4210     0.0520         -0.0480
    34    0.0860    0.8120     0.0440         -0.0420
    35    0.0700    0.6090     0.0430         -0.0270
    36    0.0530    0.6090     0.0180         -0.0350
    37    0.0890    1.2180     0.0480         -0.0410
    38    0.0510    0.8120     0.0360         -0.0150
    39    0.0680    0.4060     0.0240         -0.0440
    40    0.0690    0.8120     0.0250         -0.0440
    41    0.0720    0.8120     0.0200         -0.0520
    42    0.1630    1.0150     0.0930         -0.0700
    43    0.0950    1.0150     0.0580         -0.0370
    44    0.0530    1.2180     0.0240         -0.0290
    45    0.0570    1.2180     0.0270         -0.0300
    46    0.0270    0.4060     0.0190         -0.0080
    47    0.0370    0.6090     0.0120         -0.0250
    48    0.0820    1.0150     0.0250         -0.0570
    49    0.1170    0.8120     0.0600         -0.0570
    50    0.0460    1.0150     0.0150         -0.0310
    51    0.0460    0.4060     0.0180         -0.0280
    52    0.0780    1.2180     0.0300         -0.0480
    53    0.1220    1.0150     0.0710         -0.0510
    54    0.0770    1.2180     0.0290         -0.0480
    55    0.0970    1.0150     0.0490         -0.0480
    56    0.0780    0.8120     0.0400         -0.0380
    57    0.0460    0.6090     0.0080         -0.0380
    58    0.0820    0.8120     0.0350         -0.0470
    59    0.0920    1.0150     0.0390         -0.0530
    60    0.0920    0.8120     0.0660         -0.0260
    61    0.0320    0.6090     0.0060         -0.0260
    62    0.1330    0.8120     0.0660         -0.0670
    63    0.0810    1.2180     0.0440         -0.0370
    64    0.0470    1.4210     0.0230         -0.0240
    65    0.0800    1.2180     0.0380         -0.0420
    66    0.0470    1.4210     0.0250         -0.0220
    67    0.1100    1.0150     0.0500         -0.0600
    68    0.0900    1.2180     0.0480         -0.0420
    69    0.0630    1.0150     0.0380         -0.0250
    70    0.0450    1.0150     0.0200         -0.0250
    71    0.0610    0.8120     0.0310         -0.0300
    72    0.0630    1.2180     0.0320         -0.0310
    73    0.0940    1.2180     0.0420         -0.0520
    74    0.1040    0.8120     0.0510         -0.0530
    75    0.1400    1.0150     0.0790         -0.0610
    76    0.1690    1.0150     0.0850         -0.0840
    77    0.1120    1.2180     0.0640         -0.0480
    78    0.0880    1.0150     0.0490         -0.0390
    79    0.0930    1.2180     0.0460         -0.0470
    80    0.0720    1.2180     0.0410         -0.0310
    81    0.1380    0.8120     0.0810         -0.0570
    82    0.1080    1.4210     0.0510         -0.0570
    83    0.1000    1.2180     0.0470         -0.0530
    84    0.1130    0.8120     0.0590         -0.0540
    85    0.0670    1.0150     0.0270         -0.0400
    86    0.0390    0.6090     0.0190         -0.0200
    87    0.0430    1.0150     0.0230         -0.0200
    88    0.0710    1.4210     0.0350         -0.0360
    89    0.0380    1.0150     0.0160         -0.0220
    90    0.0840    0.8120     0.0400         -0.0440
    91    0.0740    1.0150     0.0320         -0.0420
    92    0.1190    1.0150     0.0640         -0.0550
    93    0.1100    1.0150     0.0610         -0.0490
    94    0.0630    1.0150     0.0360         -0.0270
    95    0.0790    1.2180     0.0380         -0.0410
    96    0.1840    1.0150     0.0950         -0.0890
    97    0.1730    1.2180     0.0840         -0.0890
    98    0.0340    0.4060     0.0240         -0.0100
    99    0.0190    0.4060     0.0040         -0.0150
   100    0.0230    0.6090     0.0030         -0.0200
   101    0.0540    0.8120     0.0200         -0.0340
   102    0.0640    1.0150     0.0300         -0.0340
   103    0.0710    1.0150     0.0340         -0.0370
   104    0.0680    1.0150     0.0500         -0.0180
   105    0.0350    0.6090     0.0240         -0.0110
   106    0.0710    0.6090     0.0170         -0.0540
   107    0.0630    0.8120     0.0400         -0.0230
   108    0.0420    0.6090     0.0110         -0.0310
   109    0.0900    0.8120     0.0520         -0.0380
   110    0.0840    0.8120     0.0500         -0.0340
   111    0.0660    1.0150     0.0260         -0.0400
   112    0.1070    1.0150     0.0640         -0.0430
   113    0.1160    1.0150     0.0610         -0.0550
   114    0.0970    1.2180     0.0530         -0.0440
   115    0.0550    1.2180     0.0290         -0.0260
   116    0.0530    0.8120     0.0260         -0.0270
   117    0.0240    0.4060     0.0040         -0.0200
   118    0.0830    1.0150     0.0300         -0.0530
   119    0.0960    1.2180     0.0470         -0.0490
   120    0.0840    1.4210     0.0230         -0.0610
   121    0.1280    1.2180     0.0670         -0.0610
   122    0.0610    1.2180     0.0300         -0.0310
   123    0.1190    1.0150     0.0760         -0.0430
   124    0.0780    1.0150     0.0470         -0.0310
   125    0.0430    0.8120     0.0260         -0.0170
   126    0.0240    1.0150     0.0100         -0.0140
   127    0.0450    0.6090     0.0290         -0.0160
   128    0.0410    0.6090     0.0260         -0.0150
   129    0.0330    0.8120     0.0090         -0.0240
   130    0.0680    1.4210     0.0350         -0.0330
   131    0.1000    0.6090     0.0480         -0.0520
   132    0.0610    0.6090     0.0090         -0.0520
   133    0.0150    0.4060     0.0000         -0.0150
   134    0.0340    0.6090     0.0170         -0.0170
   135    0.0370    0.8120     0.0200         -0.0170
   136    0.0800    0.8120     0.0510         -0.0290
   137    0.0730    1.0150     0.0390         -0.0340
   138    0.1000    0.8120     0.0560         -0.0440
   139    0.0660    1.0150     0.0390         -0.0270
   140    0.0970    1.0150     0.0480         -0.0490
   141    0.0760    1.0150     0.0270         -0.0490
   142    0.0480    1.2180     0.0130         -0.0350
   143    0.0760    1.2180     0.0290         -0.0470
   144    0.0590    0.8120     0.0350         -0.0240
   145    0.0640    0.8120     0.0190         -0.0450
   146    0.0680    1.0150     0.0230         -0.0450
   147    0.0610    0.6090     0.0360         -0.0250
   148    0.0310    0.8120     0.0060         -0.0250
   149    0.1010    1.2180     0.0530         -0.0480
   150    0.0840    0.8120     0.0440         -0.0400
   151    0.0510    1.0150     0.0110         -0.0400
   152    0.0620    0.6090     0.0240         -0.0380
   153    0.0870    1.0150     0.0490         -0.0380
   154    0.0860    0.8120     0.0380         -0.0480
   155    0.0790    1.2180     0.0430         -0.0360
   156    0.0880    1.0150     0.0280         -0.0600
   157    0.0910    1.0150     0.0530         -0.0380
   158    0.0690    1.0150     0.0320         -0.0370
   159    0.0420    1.2180     0.0250         -0.0170
   160    0.0740    1.0150     0.0360         -0.0380
   161    0.0510    1.0150     0.0280         -0.0230
   162    0.0430    0.4060     0.0330         -0.0100
