 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: gA-f203.in  
  NUMBER OF POINTS IN SERIES:         9491
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    1926.470      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
     1    0.0039    2.2330     0.0012         -0.0027
     2    0.0048    4.8720     0.0023         -0.0025
     3    0.0055    2.4360     0.0030         -0.0025
     4    0.0047    2.0300     0.0030         -0.0017
     5    0.0027    1.8270     0.0007         -0.0020
     6    0.0035    2.0300     0.0022         -0.0013
     7    0.0010    1.4210     0.0003         -0.0007
     8    0.0020    4.0600     0.0015         -0.0006
     9    0.0060    4.0600     0.0024         -0.0036
    10    0.0052    2.8420     0.0037         -0.0015
    11    0.0055    2.0300     0.0023         -0.0033
    12    0.0056    1.8270     0.0018         -0.0038
    13    0.0057    1.6240     0.0037         -0.0020
    14    0.0077    3.6540     0.0042         -0.0035
    15    0.0048    3.2480     0.0027         -0.0022
    16    0.0068    3.6540     0.0039         -0.0029
    17    0.0029    2.2330     0.0014         -0.0015
    18    0.0022    4.2630     0.0012         -0.0010
    19    0.0034    2.0300     0.0012         -0.0022
    20    0.0033    2.0300     0.0018         -0.0014
    21    0.0038    4.4660     0.0022         -0.0016
    22    0.0010    1.4210     0.0003         -0.0007
    23    0.0056    2.4360     0.0032         -0.0024
    24    0.0023    1.6240     0.0006         -0.0018
    25    0.0027    2.2330     0.0022         -0.0005
    26    0.0030    4.0600     0.0007         -0.0022
    27    0.0051    2.0300     0.0013         -0.0038
    28    0.0073    2.0300     0.0041         -0.0032
    29    0.0050    2.2330     0.0035         -0.0015
    30    0.0038    3.2480     0.0015         -0.0023
    31    0.0019    1.4210     0.0008         -0.0011
    32    0.0085    2.2330     0.0038         -0.0047
    33    0.0066    2.2330     0.0043         -0.0024
    34    0.0029    1.6240     0.0007         -0.0022
    35    0.0047    2.2330     0.0024         -0.0023
    36    0.0045    4.2630     0.0023         -0.0022
    37    0.0016    2.0300     0.0008         -0.0008
    38    0.0034    3.2480     0.0018         -0.0016
    39    0.0005    1.0150     0.0002         -0.0002
    40    0.0020    3.0450     0.0009         -0.0011
    41    0.0070    2.6390     0.0030         -0.0040
    42    0.0024    1.4210     0.0012         -0.0013
    43    0.0059    1.8270     0.0025         -0.0034
    44    0.0081    2.0300     0.0051         -0.0030
    45    0.0088    1.8270     0.0034         -0.0054
    46    0.0058    1.8270     0.0034         -0.0024
    47    0.0025    1.6240     0.0015         -0.0010
    48    0.0024    2.8420     0.0010         -0.0014
    49    0.0024    1.8270     0.0011         -0.0013
    50    0.0041    1.8270     0.0023         -0.0018
    51    0.0072    2.0300     0.0025         -0.0047
    52    0.0060    1.8270     0.0030         -0.0030
    53    0.0043    6.6990     0.0030         -0.0014
    54    0.0038    2.2330     0.0023         -0.0016
    55    0.0052    2.0300     0.0024         -0.0028
    56    0.0057    2.0300     0.0032         -0.0024
    57    0.0032    1.8270     0.0014         -0.0018
    58    0.0025    2.8420     0.0008         -0.0016
    59    0.0023    2.0300     0.0016         -0.0007
    60    0.0019    1.6240     0.0013         -0.0005
    61    0.0053    2.2330     0.0014         -0.0040
    62    0.0075    3.0450     0.0050         -0.0025
    63    0.0018    3.0450     0.0006         -0.0012
    64    0.0014    1.8270     0.0005         -0.0009
    65    0.0037    2.6390     0.0021         -0.0016
    66    0.0030    2.2330     0.0021         -0.0009
    67    0.0033    1.6240     0.0008         -0.0024
    68    0.0057    2.0300     0.0021         -0.0036
    69    0.0076    1.8270     0.0035         -0.0041
    70    0.0055    2.2330     0.0036         -0.0019
    71    0.0015    2.4360     0.0001         -0.0013
    72    0.0080    2.2330     0.0043         -0.0038
    73    0.0067    1.8270     0.0025         -0.0042
    74    0.0060    2.8420     0.0038         -0.0022
    75    0.0029    1.8270     0.0012         -0.0018
    76    0.0052    1.8270     0.0024         -0.0027
    77    0.0059    2.0300     0.0034         -0.0024
    78    0.0032    1.4210     0.0004         -0.0027
    79    0.0072    2.0300     0.0040         -0.0032
    80    0.0047    2.2330     0.0031         -0.0016
    81    0.0007    1.4210     0.0000         -0.0006
    82    0.0054    3.4510     0.0018         -0.0036
    83    0.0047    2.8420     0.0030         -0.0017
    84    0.0047    4.2630     0.0021         -0.0026
    85    0.0064    2.6390     0.0040         -0.0023
    86    0.0043    1.8270     0.0024         -0.0019
    87    0.0032    1.8270     0.0012         -0.0020
    88    0.0024    3.4510     0.0016         -0.0008
    89    0.0014    2.8420     0.0008         -0.0006
    90    0.0020    2.4360     0.0001         -0.0019
    91    0.0064    2.2330     0.0033         -0.0031
    92    0.0045    2.2330     0.0029         -0.0016
    93    0.0009    1.4210     0.0003         -0.0006
    94    0.0027    2.2330     0.0011         -0.0016
    95    0.0051    2.4360     0.0028         -0.0024
    96    0.0034    1.8270     0.0018         -0.0016
    97    0.0043    1.6240     0.0006         -0.0038
    98    0.0049    1.8270     0.0033         -0.0016
    99    0.0038    1.6240     0.0020         -0.0018
   100    0.0048    1.8270     0.0026         -0.0022
   101    0.0068    2.0300     0.0030         -0.0038
   102    0.0074    2.4360     0.0041         -0.0033
   103    0.0050    2.0300     0.0018         -0.0032
   104    0.0037    3.4510     0.0027         -0.0009
   105    0.0055    3.2480     0.0015         -0.0041
   106    0.0068    2.2330     0.0043         -0.0024
   107    0.0016    1.2180     0.0005         -0.0011
   108    0.0108    2.4360     0.0049         -0.0059
   109    0.0078    1.8270     0.0030         -0.0048
   110    0.0075    2.0300     0.0049         -0.0026
   111    0.0038    1.8270     0.0013         -0.0024
   112    0.0042    2.6390     0.0025         -0.0016
   113    0.0059    2.2330     0.0028         -0.0031
   114    0.0064    2.2330     0.0030         -0.0034
   115    0.0038    4.2630     0.0019         -0.0020
   116    0.0043    2.0300     0.0013         -0.0030
   117    0.0040    1.6240     0.0026         -0.0015
   118    0.0066    5.2780     0.0034         -0.0032
   119    0.0050    3.4510     0.0023         -0.0026
   120    0.0043    2.8420     0.0013         -0.0029
   121    0.0040    1.6240     0.0033         -0.0008
   122    0.0049    2.2330     0.0020         -0.0029
   123    0.0033    1.4210     0.0009         -0.0024
   124    0.0049    2.0300     0.0031         -0.0019
   125    0.0041    4.2630     0.0023         -0.0018
   126    0.0029    1.8270     0.0010         -0.0019
   127    0.0070    2.2330     0.0036         -0.0033
   128    0.0064    2.6390     0.0038         -0.0027
   129    0.0035    1.8270     0.0013         -0.0022
   130    0.0053    1.8270     0.0019         -0.0034
   131    0.0079    1.8270     0.0035         -0.0044
   132    0.0049    1.6240     0.0034         -0.0015
   133    0.0042    1.8270     0.0025         -0.0017
   134    0.0030    2.0300     0.0016         -0.0014
   135    0.0008    1.0150     0.0003         -0.0005
   136    0.0056    2.4360     0.0026         -0.0031
   137    0.0034    1.8270     0.0020         -0.0015
   138    0.0042    3.2480     0.0030         -0.0012
   139    0.0033    1.8270     0.0025         -0.0008
   140    0.0048    3.2480     0.0041         -0.0007
   141    0.0019    1.8270     0.0003         -0.0015
   142    0.0036    4.8720     0.0027         -0.0010
   143    0.0069    3.8570     0.0060         -0.0009
   144    0.0030    1.4210     0.0027         -0.0003
   145    0.0071    2.2330     0.0039         -0.0032
   146    0.0025    1.4210     0.0018         -0.0007
   147    0.0022    1.4210     0.0016         -0.0006
   148    0.0046    2.0300     0.0039         -0.0006
   149    0.0021    1.6240     0.0017         -0.0004
   150    0.0075   13.1950     0.0010         -0.0065
   151    0.0119    5.6840     0.0016         -0.0103
   152    0.0008    0.6090     0.0001         -0.0007
   153    0.0122    5.4810     0.0102         -0.0020
   154    0.0075    2.2330     0.0064         -0.0011
   155    0.0133    5.8870     0.0023         -0.0110
   156    0.0215    5.4810     0.0145         -0.0070
   157    0.0271    3.6540     0.0098         -0.0173
   158    0.0170    3.4510     0.0120         -0.0050
   159    0.0091    1.8270     0.0026         -0.0065
   160    0.0173    3.6540     0.0074         -0.0099
   161    0.0114    1.8270     0.0072         -0.0042
   162    0.0341    5.2780     0.0169         -0.0172
   163    0.0230    4.0600     0.0120         -0.0110
   164    0.0168    3.0450     0.0106         -0.0062
   165    0.0266    2.2330     0.0055         -0.0211
   166    0.0876    2.6390     0.0381         -0.0495
   167    0.1067    2.6390     0.0545         -0.0522
   168    0.0984    2.2330     0.0499         -0.0484
   169    0.2227    2.2330     0.0753         -0.1474
   170    0.5546    2.4360     0.2448         -0.3098
   171    0.5461    2.2330     0.3055         -0.2407
   172    0.2828    2.4360     0.1729         -0.1099
   173    0.1605    2.6390     0.0784         -0.0821
   174    0.0903    2.2330     0.0632         -0.0272
   175    0.0318    1.8270     0.0140         -0.0178
   176    0.0362    3.4510     0.0138         -0.0224
   177    0.0532    2.0300     0.0321         -0.0211
   178    0.0397    1.8270     0.0170         -0.0228
   179    0.0176    1.2180     0.0086         -0.0090
   180    0.0468    2.4360     0.0180         -0.0287
