 
  * * * * * * * PROGRAM ZCROSS * * * * * * * *
  * *
  * M.J. KRAFFT *
  * *
  * *
  * Zero Up-Crossing Analysis *
  * *
  * * * * * * * * * * * * * * * * * * * * * * *
 
 
  * * * * * * * * INPUT DATA * * * * * * * * *
 
  INPUT TIME SERIES ANALYZED: vagues.in   
  NUMBER OF POINTS IN SERIES:        10335
  TIME SERIES TIME STEP :   0.2030000      SEC
  TIME SERIES RECORD LENGTH :    2097.802      SEC
 
  Notes: -mean of time series has been removed.
  -except for computation of mean of input
  time series, data prior to first up-
  crossing and data after last up-crossing
  has been ignored in z-cross analysis.
 
  * * * Z-CROSS WAVE HEIGHT/PERIOD DATA * * * *
 
 INDEX   HEIGHT    PERIOD     CREST HEIGHT   TROUGH DEPTH
     1    0.0240    0.6090     0.0069         -0.0171
     2    0.0760    1.6240     0.0589         -0.0171
     3    0.0410    1.2180     0.0309         -0.0101
     4    0.0620    1.4210     0.0389         -0.0231
     5    0.0400    0.8120     0.0169         -0.0231
     6    0.0580    1.2180     0.0469         -0.0111
     7    0.0330    0.4060     0.0209         -0.0121
     8    0.0320    0.6090     0.0199         -0.0121
     9    0.0380    0.6090     0.0229         -0.0151
    10    0.0380    0.6090     0.0229         -0.0151
    11    0.0490    0.6090     0.0349         -0.0141
    12    0.0500    1.4210     0.0429         -0.0071
    13    0.0070    0.4060     0.0019         -0.0051
    14    0.0570    2.8420     0.0329         -0.0241
    15    0.0230    0.4060     0.0039         -0.0191
    16    0.0460    2.0300     0.0269         -0.0191
    17    0.0340    4.0600     0.0229         -0.0111
    18    0.0390    1.4210     0.0279         -0.0111
    19    0.0300    1.2180     0.0189         -0.0111
    20    0.0180    0.6090     0.0069         -0.0111
    21    0.0350    1.2180     0.0279         -0.0071
    22    0.0100    0.6090     0.0029         -0.0071
    23    0.0200    0.6090     0.0149         -0.0051
    24    0.0500    1.2180     0.0449         -0.0051
    25    0.0350    0.8120     0.0209         -0.0141
    26    0.0410    1.0150     0.0269         -0.0141
    27    0.0330    0.6090     0.0189         -0.0141
    28    0.0460    2.4360     0.0299         -0.0161
    29    0.0460    2.8420     0.0309         -0.0151
    30    0.0080    0.4060     0.0049         -0.0031
    31    0.0470    1.4210     0.0289         -0.0181
    32    0.0520    1.0150     0.0349         -0.0171
    33    0.0430    0.8120     0.0249         -0.0181
    34    0.0430    0.4060     0.0249         -0.0181
    35    0.0230    0.4060     0.0089         -0.0141
    36    0.0420    1.6240     0.0329         -0.0091
    37    0.0230    0.4060     0.0089         -0.0141
    38    0.0630    2.0300     0.0489         -0.0141
    39    0.0310    0.6090     0.0269         -0.0041
    40    0.0420    1.2180     0.0269         -0.0151
    41    0.0180    0.4060     0.0029         -0.0151
    42    0.0120    0.4060     0.0029         -0.0091
    43    0.0410    0.8120     0.0299         -0.0111
    44    0.0400    0.6090     0.0269         -0.0131
    45    0.0220    0.6090     0.0089         -0.0131
    46    0.0610    1.6240     0.0369         -0.0241
    47    0.0500    1.6240     0.0349         -0.0151
    48    0.0210    1.6240     0.0139         -0.0071
    49    0.0160    1.0150     0.0149         -0.0011
    50    0.0440    1.4210     0.0279         -0.0161
    51    0.0540    1.4210     0.0319         -0.0221
    52    0.0460    1.6240     0.0239         -0.0221
    53    0.0210    0.4060     0.0069         -0.0141
    54    0.0590    1.0150     0.0449         -0.0141
    55    0.0470    0.6090     0.0289         -0.0181
    56    0.0540    1.0150     0.0239         -0.0301
    57    0.0620    0.8120     0.0469         -0.0151
    58    0.0300    0.4060     0.0149         -0.0151
    59    0.0450    0.8120     0.0269         -0.0181
    60    0.0250    1.0150     0.0069         -0.0181
    61    0.0270    0.4060     0.0239         -0.0031
    62    0.0240    0.6090     0.0129         -0.0111
    63    0.0410    0.8120     0.0209         -0.0201
    64    0.0670    0.8120     0.0359         -0.0311
    65    0.0420    0.6090     0.0109         -0.0311
    66    0.0480    0.6090     0.0369         -0.0111
    67    0.0830    0.4060     0.0409         -0.0421
    68    0.0970    0.6090     0.0549         -0.0421
    69    0.0380    1.0150     0.0229         -0.0151
    70    0.0230    0.6090     0.0139         -0.0091
    71    0.0510    0.8120     0.0229         -0.0281
    72    0.0490    0.6090     0.0209         -0.0281
    73    0.0340    0.8120     0.0289         -0.0051
    74    0.0280    0.6090     0.0069         -0.0211
    75    0.0920    1.4210     0.0459         -0.0461
    76    0.0380    0.6090     0.0289         -0.0091
    77    0.0500    1.0150     0.0379         -0.0121
    78    0.0270    1.0150     0.0089         -0.0181
    79    0.0370    0.8120     0.0229         -0.0141
    80    0.0400    0.8120     0.0259         -0.0141
    81    0.0330    0.8120     0.0099         -0.0231
    82    0.0140    0.6090     0.0089         -0.0051
    83    0.0470    2.6390     0.0329         -0.0141
    84    0.0380    0.6090     0.0269         -0.0111
    85    0.0330    0.8120     0.0279         -0.0051
    86    0.0490    0.6090     0.0329         -0.0161
    87    0.0390    0.6090     0.0229         -0.0161
    88    0.0500    1.0150     0.0309         -0.0191
    89    0.0240    0.8120     0.0159         -0.0081
    90    0.0380    0.4060     0.0249         -0.0131
    91    0.0260    0.8120     0.0129         -0.0131
    92    0.0160    0.4060     0.0049         -0.0111
    93    0.0410    1.2180     0.0149         -0.0261
    94    0.0750    1.0150     0.0489         -0.0261
    95    0.0250    0.4060     0.0009         -0.0241
    96    0.0710    1.0150     0.0599         -0.0111
    97    0.0590    0.8120     0.0369         -0.0221
    98    0.0260    0.8120     0.0149         -0.0111
    99    0.0420    0.6090     0.0329         -0.0091
   100    0.0430    0.6090     0.0189         -0.0241
   101    0.0540    1.2180     0.0299         -0.0241
   102    0.0250    0.8120     0.0129         -0.0121
   103    0.0410    1.4210     0.0249         -0.0161
   104    0.0250    0.4060     0.0089         -0.0161
   105    0.0230    0.8120     0.0159         -0.0071
   106    0.0420    1.6240     0.0219         -0.0201
   107    0.0340    1.6240     0.0309         -0.0031
   108    0.0210    0.6090     0.0039         -0.0171
   109    0.0300    0.6090     0.0139         -0.0161
   110    0.0320    1.4210     0.0159         -0.0161
   111    0.0240    0.8120     0.0109         -0.0131
   112    0.0490    1.4210     0.0309         -0.0181
   113    0.0310    0.6090     0.0119         -0.0191
   114    0.0730    1.4210     0.0409         -0.0321
   115    0.0370    0.6090     0.0049         -0.0321
   116    0.0590    2.0300     0.0389         -0.0201
   117    0.0280    1.4210     0.0129         -0.0151
   118    0.0320    0.8120     0.0229         -0.0091
   119    0.0530    0.6090     0.0419         -0.0111
   120    0.0220    0.8120     0.0029         -0.0191
   121    0.0460    1.0150     0.0199         -0.0261
   122    0.0730    0.6090     0.0309         -0.0421
   123    0.0840    1.4210     0.0419         -0.0421
   124    0.0350    0.6090     0.0069         -0.0281
   125    0.0470    0.4060     0.0189         -0.0281
   126    0.0600    1.4210     0.0359         -0.0241
   127    0.0340    1.0150     0.0099         -0.0241
   128    0.0270    0.6090     0.0239         -0.0031
   129    0.0700    0.6090     0.0269         -0.0431
   130    0.0830    1.6240     0.0399         -0.0431
   131    0.0450    0.8120     0.0069         -0.0381
   132    0.0540    1.4210     0.0449         -0.0091
   133    0.0430    0.6090     0.0049         -0.0381
   134    0.0710    0.6090     0.0329         -0.0381
   135    0.0340    1.2180     0.0229         -0.0111
   136    0.0320    0.6090     0.0209         -0.0111
   137    0.0390    1.0150     0.0229         -0.0161
   138    0.0340    0.4060     0.0179         -0.0161
   139    0.0290    0.6090     0.0129         -0.0161
   140    0.0590    0.6090     0.0439         -0.0151
   141    0.0460    0.6090     0.0259         -0.0201
   142    0.0360    0.6090     0.0079         -0.0281
   143    0.0530    1.6240     0.0249         -0.0281
   144    0.0440    1.0150     0.0389         -0.0051
   145    0.0460    0.4060     0.0149         -0.0311
   146    0.0520    0.8120     0.0209         -0.0311
   147    0.0480    0.6090     0.0329         -0.0151
   148    0.0640    1.2180     0.0279         -0.0361
   149    0.0950    0.8120     0.0729         -0.0221
   150    0.0520    0.6090     0.0229         -0.0291
   151    0.0340    0.8120     0.0049         -0.0291
   152    0.0510    0.6090     0.0349         -0.0161
   153    0.0770    0.8120     0.0349         -0.0421
   154    0.0980    0.8120     0.0559         -0.0421
   155    0.0330    1.0150     0.0059         -0.0271
   156    0.0130    0.4060     0.0039         -0.0091
   157    0.0980    0.8120     0.0919         -0.0061
   158    0.0430    0.6090     0.0029         -0.0401
   159    0.0910    1.6240     0.0409         -0.0501
   160    0.0790    2.0300     0.0389         -0.0401
   161    0.0740    1.4210     0.0379         -0.0361
   162    0.0590    0.4060     0.0229         -0.0361
   163    0.0300    0.4060     0.0069         -0.0231
   164    0.0840    1.0150     0.0569         -0.0271
   165    0.0380    0.6090     0.0019         -0.0361
   166    0.0590    1.4210     0.0349         -0.0241
   167    0.1060    2.0300     0.0729         -0.0331
   168    0.0620    1.6240     0.0419         -0.0201
   169    0.0320    1.4210     0.0179         -0.0141
   170    0.0150    0.4060     0.0009         -0.0141
   171    0.0580    0.8120     0.0299         -0.0281
   172    0.0360    0.6090     0.0029         -0.0331
   173    0.1380    1.2180     0.0799         -0.0581
   174    0.0900    0.6090     0.0319         -0.0581
   175    0.0770    1.2180     0.0509         -0.0261
   176    0.0380    0.8120     0.0219         -0.0161
   177    0.0610    1.0150     0.0309         -0.0301
   178    0.0850    1.6240     0.0529         -0.0321
   179    0.0700    1.4210     0.0379         -0.0321
   180    0.0270    0.4060     0.0069         -0.0201
   181    0.0490    0.6090     0.0379         -0.0111
   182    0.0340    0.4060     0.0049         -0.0291
   183    0.0410    0.6090     0.0089         -0.0321
   184    0.0950    1.0150     0.0509         -0.0441
   185    0.0420    0.4060     0.0169         -0.0251
   186    0.0830    1.0150     0.0429         -0.0401
   187    0.0470    0.4060     0.0109         -0.0361
   188    0.0410    0.8120     0.0169         -0.0241
   189    0.0860    0.6090     0.0439         -0.0421
   190    0.0870    0.8120     0.0449         -0.0421
   191    0.0340    0.6090     0.0109         -0.0231
   192    0.0690    0.8120     0.0359         -0.0331
   193    0.0630    0.8120     0.0149         -0.0481
   194    0.0720    0.6090     0.0479         -0.0241
   195    0.0340    0.6090     0.0099         -0.0241
   196    0.0240    0.8120     0.0129         -0.0111
   197    0.0240    0.4060     0.0079         -0.0161
   198    0.0530    0.8120     0.0259         -0.0271
   199    0.0630    1.4210     0.0389         -0.0241
   200    0.0200    0.6090     0.0169         -0.0031
   201    0.0200    0.8120     0.0039         -0.0161
   202    0.0310    0.6090     0.0159         -0.0151
   203    0.0290    0.6090     0.0039         -0.0251
   204    0.0550    0.6090     0.0299         -0.0251
   205    0.0150    0.4060     0.0029         -0.0121
   206    0.0420    0.4060     0.0159         -0.0261
   207    0.0890    1.0150     0.0349         -0.0541
   208    0.0650    0.6090     0.0109         -0.0541
   209    0.0810    1.0150     0.0429         -0.0381
   210    0.0430    1.4210     0.0099         -0.0331
   211    0.0250    0.6090     0.0029         -0.0221
   212    0.0850    0.6090     0.0509         -0.0341
   213    0.0560    0.6090     0.0219         -0.0341
   214    0.0840    1.0150     0.0429         -0.0411
   215    0.0640    0.8120     0.0229         -0.0411
   216    0.0270    0.4060     0.0139         -0.0131
   217    0.0320    0.8120     0.0129         -0.0191
   218    0.0370    0.6090     0.0179         -0.0191
   219    0.0580    0.6090     0.0199         -0.0381
   220    0.0710    1.6240     0.0329         -0.0381
   221    0.0510    1.0150     0.0199         -0.0311
   222    0.0620    0.4060     0.0179         -0.0441
   223    0.0830    1.2180     0.0389         -0.0441
   224    0.1010    1.6240     0.0569         -0.0441
   225    0.0930    0.8120     0.0469         -0.0461
   226    0.0650    1.4210     0.0229         -0.0421
   227    0.0570    1.0150     0.0169         -0.0401
   228    0.0620    1.0150     0.0359         -0.0261
   229    0.0910    0.8120     0.0329         -0.0581
   230    0.0500    0.6090     0.0309         -0.0191
   231    0.0450    0.8120     0.0129         -0.0321
   232    0.0720    1.2180     0.0379         -0.0341
   233    0.0670    1.4210     0.0409         -0.0261
   234    0.0940    1.0150     0.0479         -0.0461
   235    0.0360    0.6090     0.0109         -0.0251
   236    0.0670    0.8120     0.0229         -0.0441
   237    0.1150    1.2180     0.0709         -0.0441
   238    0.0230    0.8120     0.0189         -0.0041
   239    0.0280    1.0150     0.0029         -0.0251
   240    0.0790    0.8120     0.0389         -0.0401
   241    0.0870    1.4210     0.0329         -0.0541
   242    0.0530    0.8120     0.0279         -0.0251
   243    0.0490    0.6090     0.0139         -0.0351
   244    0.0520    0.8120     0.0169         -0.0351
   245    0.0290    0.6090     0.0009         -0.0281
